,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL
2,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS
3,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,NJN,BRK,BRK,BRK,BRK,BRK,BRK
4,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI
5,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CHH,CLE,CLE,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHO,CHO,CHO,CHO
6,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,DAL,DAL,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE
7,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DEN,DEN,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL
8,DET,DET,DET,DET,DET,DET,DET,DET,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DET,DET,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN
9,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,GSW,GSW,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET
10,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,HOU,HOU,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW,GSW
11,IND,IND,IND,IND,IND,IND,IND,IND,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,IND,IND,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU
12,SDC,SDC,SDC,SDC,LAC,LAC,LAC,LAC,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,LAC,LAC,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
13,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAL,LAL,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC
14,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,MEM,MEM,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL
15,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,MIA,MIA,MIA,MIA,MIA,MIA,MIA,VAN,VAN,VAN,VAN,VAN,VAN,MEM,MIA,MIA,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM
16,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIL,MIL,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA
17,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,NYK,MIN,MIN,MIN,MIN,MIN,MIN,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIN,MIN,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL
18,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,SEA,NYK,NYK,NYK,NYK,NYK,NYK,MIN,MIN,MIN,MIN,MIN,MIN,MIN,NOH,NOH,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
19,POR,POR,POR,POR,POR,POR,POR,POR,PHI,SEA,SEA,SEA,SEA,SEA,SEA,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NOH,NOK,NOK,NOH,NOH,NOH,NOH,NOH,NOH,NOP,NOP,NOP,NOP,NOP
20,KCK,KCK,KCK,KCK,KCK,SAC,SAC,SAC,PHO,ORL,ORL,ORL,ORL,ORL,ORL,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK,NYK
21,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,POR,PHI,PHI,PHI,PHI,PHI,PHI,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,SEA,SEA,SEA,SEA,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC
22,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,SAC,PHO,PHO,PHO,PHO,PHO,PHO,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL
23,WSB,WSB,WSB,WSB,WSB,WSB,WSB,WSB,SAS,POR,POR,POR,POR,POR,POR,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI
24,,,,,,,,,UTA,SAC,SAC,SAC,SAC,SAC,SAC,POR,POR,POR,POR,POR,POR,POR,POR,POR,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO
25,,,,,,,,,WSB,SAS,SAS,SAS,SAS,SAS,SAS,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR
26,,,,,,,,,,UTA,UTA,UTA,UTA,UTA,UTA,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC
27,,,,,,,,,,WSB,WSB,WSB,WSB,WSB,WSB,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS
28,,,,,,,,,,,,,,,,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR
29,,,,,,,,,,,,,,,,WSB,WSB,WAS,WAS,WAS,WAS,WAS,WAS,WAS,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA
30,,,,,,,,,,,,,,,,,,,,,,,,,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS
